Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3W,"""VOLVO GROUP INDIA PVT LTD""",0,0,31,12,0,0,0,0,0,0
3W,3EV INDUSTRIES PVT LTD,0,0,0,0,0,0,112,390,545,51
2W,3GB TECHNOLOGY PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,3GB TECHNOLOGY PVT LTD,0,1,1,0,0,0,0,0,0,0
3W,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,48,66,43,68,266,578
LMV,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,3,1,0,0,0,0
3W,A B EXCAVATORS & EARTHMOVER LTD,0,1,0,0,0,0,0,0,0,0
3W,A D AGRO WORKS,0,0,2,1,0,0,0,0,0,0
3W,A K AUTTO ELECTRICAL,0,1,72,56,42,1,5,3,2,0
3W,A K GUPTA & CO.,0,0,100,625,438,195,256,433,563,355
3W,A P I MOTORS PVT LTD,0,0,0,2,28,14,20,93,279,146
LMV,A R T WELDING WORKS,0,1,0,2,0,0,0,0,0,0
3W,A. K. AUTTO ELECTRICAL,0,0,0,0,0,1,0,0,0,0
3W,A.J ENTERPRISES,0,0,0,0,0,0,0,0,0,66
3W,A.K.AUTO ELECTRICAL,0,2,8,0,0,0,0,0,0,0
3W,A.R. MOTOR,0,0,0,0,0,0,0,0,0,164
3W,A.V.AUTOMOTIVES PVT LTD,0,0,33,280,452,256,677,1451,1309,674
2W,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,0,2
3W,A3T INCORPORTED,0,8,94,85,41,3,17,8,0,0
LMV,A3T INCORPORTED,0,0,2,75,0,0,0,0,0,0
3W,AADHYA ENTERPRISES,0,3,0,4,6,4,6,516,797,312
LMV,AADHYA ENTERPRISES,0,0,0,0,0,1,0,0,0,0
3W,AADITYA EMOTORS INDIA PVT LTD,0,1,471,179,10,0,0,0,0,0
LMV,AADITYA EMOTORS INDIA PVT LTD,0,0,2,6,0,0,0,0,0,0
3W,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,13,0,0,10,34,4
LMV,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,AAHANA COMMERCE PVT LTD,0,0,0,0,0,61,202,309,918,1194
3W,AAKK AUTO PVT LTD,0,0,0,0,0,0,0,0,0,16
3W,AARGEE ELECTRIC,0,0,1,0,0,0,10,13,18,4
3W,AASHI INDIA AUTOMOBILES PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,ABHAVIS TECHNOLOGY (I) PVT LTD,0,0,1,0,0,0,0,0,0,0
LMV,ABIRAMI ENGINEERING WORKS,0,0,1,0,0,0,0,0,0,0
2W,ABZO MOTORS PVT LTD,0,0,0,0,0,0,0,0,12,48
3W,ACCRETION POWER AUTOS,0,1,21,240,315,111,207,608,598,329
2W,ACTION CONSTRUCTION EQUIPMENT LTD.,0,1,0,0,0,0,0,0,0,0
3W,ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,4,0,0,0,0,0,0,0
LMV,ACTION CONSTRUCTION EQUIPMENT LTD.,6,1,0,0,0,0,0,0,0,0
3W,ADAPT MOTORS PVT LTD,0,0,0,0,6,2,1,3,4,1
LMV,ADAPT MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,ADIDEV TECHNOA PVT LTD,0,0,0,0,8,14,34,168,689,927
3W,ADITYA AGRO INDUSTRIES,0,2,17,3,0,0,1,0,0,0
3W,ADITYA ENTERPRISES,0,0,0,0,1,0,5,3,1,0
3W,ADITYA SAI INDUSTRIES,0,39,187,176,296,75,53,129,179,152
LMV,ADITYA SAI INDUSTRIES,0,0,2,2,0,0,0,0,0,0
3W,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,0,0,0,0,129,151
2W,ADRIS ELECTRIC PVT LTD,0,0,0,0,0,0,65,226,61,8
2W,AFTEK MOTORS INDIA PVT LTD,0,0,0,0,0,1,8,186,138,34
3W,AGRASEN ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0
3W,AGRAWAL RENEWABLE ENERGY PVT LTD,0,0,0,0,2,2,1,1,0,2
3W,AGRO INDUSTRIES,0,0,1,0,0,0,0,0,0,0
LMV,AHITESHAM AGRO ENGINEERING,0,0,2,0,0,0,0,0,0,0
2W,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,0,0,0,0,1,0,0,0
3W,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,33,190,109
3W,AKASH AGRO INDUSTRIES,0,0,0,0,1,0,0,0,0,0
LMV,AKASH TRAILOR,0,0,0,1,0,0,0,0,0,0
3W,AKG INTERNATIONAL,0,0,0,0,0,0,0,0,138,1048
3W,AKSMD RECHARGEABLE VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,ALBEDO VISION PVT LTD,0,0,0,15,6,15,0,14,39,4
MMV,ALL TERRAIN CRANE,0,0,0,0,0,0,0,0,5,20
3W,ALLENTTI MOTORS PVT LTD,0,0,0,0,0,0,0,0,59,131
3W,ALLFINE INDUSTRIES PVT LTD,0,2,239,763,1737,1180,2370,5884,10743,6317
LMV,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,8,0
3W,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,177,308,381,1626,2517,1804
LMV,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0
3W,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,0,3,144,699,2512,939
LMV,ALTIGREEN PROPULSION LABS PVT LTD,0,0,0,0,0,0,2,0,7,6
2W,ALTIUS EV TECH PVT LTD,0,0,0,0,0,0,0,67,37,14
3W,ALTIUS TECHNOLOGIES,0,32,7,0,79,30,29,9,13,7
3W,AL-ZAHOOR  CO,0,6,0,0,0,0,0,0,0,0
3W,AMAN AUTOMOBILES,0,0,69,41,53,22,64,30,14,55
3W,AMAN ELECTRIC VEHICLES,0,80,114,69,20,15,63,39,162,327
3W,AMAR COACH BUILDERS,0,0,1,0,0,0,0,0,0,0
3W,AMBIKA ENTERPRISES,0,0,0,0,0,25,113,92,145,55
3W,AMBIKA INDUSTRIES,0,0,0,0,427,656,981,1159,1910,1060
LMV,AMMAN ENGINEERING COMPANY,1,0,0,1,0,0,0,0,0,0
